star, RAhr, RAmin, Decdeg, Decmin,Magnitude,Radius
iotaCapricorni,21,22,-16,-50,4.28,6.44
tetaCapricorni,21,6,-17,-14,4.08,6.84
alfa1Crucis,12,27,-63,-6,0.77,13.46
epsilonCrucis,12,21,-60,-24,3.59,7.82
deltaCrucis,12,15,-58,-45,2.79,9.42
gamaCrucis,12,31,-57,-7,1.59,11.82
betaCrucis,12,48,-59,-41,1.25,12.5
alfaCentauriA,14,39,-60,-50,-0.01,15.02
alfaCentauriB,14,39,-60,-50,1.35,12.3
betaCentauri,14,3,-60,-22,0.61,13.78
tetaCentauri,14,6,-36,-22,2.06,10.88
gamaCentauri,12,41,-48,-57,2.2,10.6
epsilonCentauri,13,39,-53,-27,2.29,10.42
zetaCentauri,13,55,-47,-17,2.55,9.9
deltaCentauri,12,8,-50,-43,2.58,9.84
iotaCentauri,13,20,-36,-42,2.75,9.5
lambdaCentauri,11,35,-63,0,3.11,8.78
alfaCarinae,6,24,-52,-42,-0.62,16.24
chiCarinae,7,57,-52,-59,3.46,8.08
epsilonCarinae,8,23,-59,-31,1.86,11.28
nuCarinae,9,47,-65,-4,2.92,9.16
betaCarinae,9,13,-69,-43,1.67,11.66
omegaCarinae,10,14,-70,-2,3.29,8.42
gama2Velorum,8,10,-47,-20,1.75,11.5
starInVela,8,41,-46,-39,3.77,7.46
lambdaVelorum,9,8,-43,-26,2.23,10.54
psiVelorum,9,31,-40,-28,3.6,7.8
muVelorum,10,47,-49,-25,2.69,9.62
starInVela1,9,4,-47,-6,3.75,7.5
deltaVelorum,8,45,-54,-43,1.93,11.14
kapaVelorum,9,22,-55,-1,2.47,10.06
etaUrsaeMajoris,13,48,49,19,1.85,11.3
zetaUrsaeMajoris,13,24,54,56,2.23,10.54
epsilonUrsaeMajoris,12,54,55,58,1.76,11.48
deltaUrsaeMajoris,12,15,57,2,3.32,8.36
gamaUrsaeMajoris,11,54,53,42,2.41,10.18
betaUrsaeMajoris,11,2,56,23,2.34,10.32
alfaUrsaeMajoris,11,4,61,45,1.81,11.38
alfaUrsaeMinoris,2,32,89,16,1.97,11.06
deltaUrsaeMinoris,17,32,86,35,4.35,6.3
epsilonUrsaeMinoris,16,46,82,2,4.21,6.58
zetaUrsaeMinoris,15,44,77,48,4.29,6.42
betaUrsaeMinoris,14,51,74,9,2.07,10.86
gamaUrsaeMinoris,15,21,71,50,3,9
etaUrsaeMinoris,16,18,75,45,4.95,5.1
alfaCanisMajoris,6,45,-16,-43,-1.44,17.88
betaCanisMajoris,6,23,-17,-57,1.98,11.04
omicrom2CanisMajoris,7,3,-23,-50,3.02,8.96
deltaCanisMajoris,7,8,-26,-24,1.83,11.34
etaCanisMajoris,7,24,-29,-18,2.45,10.1
epsilonCanisMajoris,6,59,-28,-58,1.5,12
zetaCanisMajoris,6,20,-30,-4,3.02,8.96
zetaPersei,3,54,31,53,2.84,9.32
csiPersei,3,59,35,47,3.98,7.04
epsilonPersei,3,58,40,1,2.9,9.2
nuPersei,3,45,42,35,3.77,7.46
deltaPersei,3,43,47,47,3.01,8.98
alfaPersei,3,24,49,52,1.79,11.42
gamaPersei,3,5,53,30,2.91,9.18
betaPersei,3,8,40,57,2.09,10.82
epsilonCassiopeiae,1,54,63,40,3.35,8.3
deltaCassiopeiae,1,26,60,14,2.66,9.68
gamaCassiopeiae,0,57,60,43,2.15,10.7
alfaCassiopeiae,0,41,56,32,2.24,10.52
betaCassiopeiae,0,9,59,9,2.28,10.44
gamaCDraconis,17,57,51,29,2.24,10.52
betaDraconis,17,30,52,18,2.79,9.42
nu1Draconis,17,32,55,11,4.89,5.22
zcsiDraconis,17,54,56,52,3.73,7.54
deltaDraconis,19,13,67,40,3.07,8.86
epsilonDraconis,19,48,70,16,3.84,7.32
chiDraconis,18,21,72,44,3.55,7.9
zetaDraconis,17,9,65,43,3.17,8.66
etaDraconis,16,24,61,31,2.73,9.54
iotaDraconis,15,25,58,58,3.29,8.42
alfaDraconis,14,4,64,23,3.67,7.66
kappaDraconis,12,33,69,47,3.85,7.3
lambdaDraconis,11,31,69,20,3.82,7.36
halley,8,13.5,2,49,1,13
halley,8,22.5,1,59,1,13
deltaHydrae,8,38,5,42,4.14,6.72
epsilonHydrae,8,47,6,25,3.38,8.24
zetaHydrae,8,55,5,57,3.11,8.78
tetaHydrae,9,14,2,19,3.89,7.22
alfaHydrae,9,28,-8,-40,1.99,11.02
lambdaHydrae,10,11,-12,-21,3.61,7.78
